"PInumber","ISnum","LIB","Sample","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion Missing","Proportion Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Continent"
"PI329473","IS11230","ISLJ","PI329473",NA,"IS11230","BAP",NA,NA,0.134517270233415,0.0246715411445152,1.625682,11,"Landrace","Durra-bicolor","Ethiopia",NA,7.349999,38.669998,1900,"Africa"
"PI329478","IS11234","IFLM","PI329478",NA,"IS11234","BAP",NA,NA,0.140831236788998,0.0233614082978523,1.567051,11,"Landrace",NA,"Ethiopia",NA,7.849999,36.080001,2000,"Africa"
"PI329480","IS11236","INLZ","PI329480_IS_11236",NA,"IS11236","BAP",NA,NA,0.137709970446177,0.0238514341112607,1.578057,11,"Landrace",NA,"Ethiopia",NA,7.199999,38.599998,1900,"Africa"
"PI329501","IS11257","IXCU","PI329501",NA,"IS11257","JGI_Ref",NA,NA,0.110878510426336,0.036160236165794,1.042724,2,"Landrace",NA,"Ethiopia",NA,7.949999,39.130001,2200,"Africa"
"PI329506","IS11260","INMA","PI329506_IS_11260",NA,"IS11260","BAP",NA,NA,0.137194431984959,0.0242975875229062,1.571981,11,"Landrace","Durra-bicolor","Ethiopia",NA,7.949999,39.130001,2200,"Africa"
"PI329510","IS11264","INMB","PI329510_IS_11264",NA,"IS11264","BAP",NA,NA,0.131684567885401,0.0244682293280933,1.222582,18,"Landrace","Durra-bicolor","Ethiopia",NA,8.549999,39.266667,1700,"Africa"
"PI329511","IS11265","INMC","PI329511_IS_11265",NA,"IS11265","BAP",NA,NA,0.137527142998767,0.0239673031055259,1.084741,18,"Landrace","Durra-bicolor","Ethiopia",NA,8.549999,39.266667,1700,"Africa"
"PI329517","IS11269","INMD","PI329517_IS_11269",NA,"IS11269","BAP",NA,NA,0.134924104979504,0.0238844141209727,1.572093,11,"Landrace","Durra-bicolor","Ethiopia",NA,8.739999,38.979999,1900,"Africa"
"PI329518","IS11270","INME","PI329518_IS_11270",NA,"IS11270","BAP",NA,NA,0.146785455054688,0.0229308672077887,1.614636,11,"Landrace","Durra-bicolor","Ethiopia",NA,8.115049,38.375389,NA,"Africa"
"PI329519","IS11271","INMF","PI329519_IS_11271",NA,"IS11271","BAP",NA,NA,0.1502860197178,0.0231048999321581,1.624303,11,"Landrace","Durra-bicolor","Ethiopia",NA,8.115049,38.375389,NA,"Africa"
"PI329541","IS11293","ISLQ","PI329541",NA,"IS11293","BAP",NA,NA,0.13394224976481,0.0242939510149949,1.615014,11,"Landrace","Durra-bicolor","Ethiopia",NA,8.529999,37.979999,2000,"Africa"
"PI329545","IS11297","IFJJ","PI329545",NA,"IS11297","BAP",NA,NA,0.140793800560573,0.0249515283864499,1.575921,11,"Landrace",NA,"Ethiopia",NA,8.283333,37.777637,1700,"Africa"
"PI329546","IS11298","IFJK","PI329546",NA,"IS11298","BAP",NA,NA,0.136316122605035,0.0262902430633427,1.578621,11,"Landrace",NA,"Ethiopia",NA,8.283333,37.777637,1700,"Africa"
"PI329550","IS11301","IFJL","PI329550",NA,"IS11301","BAP",NA,NA,0.133986147208956,0.0229121038891075,1.556911,11,"Landrace","Durra-bicolor","Ethiopia",NA,7.677629,36.838441,1900,"Africa"
"PI329551","IS11302","IFJM","PI329551",NA,"IS11302","BAP",NA,NA,0.136071428323834,0.0284309357304772,1.545527,11,"Landrace",NA,"Ethiopia",NA,7.677629,36.838441,1900,"Africa"
"PI329554","IS11305","IFJN","PI329554",NA,"IS11305","BAP",NA,NA,0.133349426289799,0.0240967718236786,1.54267,11,"Landrace",NA,"Ethiopia",NA,7.677629,36.838441,1900,"Africa"
"PI329569","IS11320","INMG","PI329569_IS_11320",NA,"IS11320","BAP",NA,NA,0.141360695981082,0.0197090325627087,1.166746,18,"Landrace","Durra-bicolor","Ethiopia",NA,7.773738,37.227645,NA,"Africa"
"PI329570","IS11321","INMH","PI329570_IS_11321",NA,"IS11321","BAP",NA,NA,0.151674709678582,0.0207319402031935,1.580772,11,"Landrace",NA,"Ethiopia",NA,7.849999,36.583333,NA,"Africa"
"PI329573","IS11324","IFHE","PI329573",NA,"IS11324","BAP",NA,NA,0.137448443727456,0.0249575691842841,1.615076,11,"Landrace",NA,"Ethiopia",NA,7.849999,36.583333,NA,"Africa"
"PI329583","IS11334","IFEL","PI329583",NA,"IS11334","BAP",NA,NA,0.137715405631934,0.0275863821097359,1.57837,11,"Landrace",NA,"Ethiopia",NA,7.974374,37.439209,NA,"Africa"
"PI329584","IS11335","INMI","PI329584_IS_11335",NA,"IS11335","BAP",NA,NA,0.145411517740959,0.0238088029782209,1.648776,11,"Landrace","Durra-bicolor","Ethiopia",NA,7.974374,37.439209,NA,"Africa"
